Issue Type^Issue key^Issue id^Summary^Custom field (QA Contact)^Assignee^Component/s^Component/s^Component/s^Priority^Created^Status^Resolved^Resolution
Bug^ENG-282170^682313^"Host unable to exit maintenance mode due to Acropolis leader ""ERROR scheduler.py:984 Could not get hypervisor memory overhead on host <PHANTOM_UUID>"""^scheduler-eng^scheduler-eng^AHV^AHV-Management^^Major - P2^25/Jan/20 5:08 AM^Open^^
Improvement^ENG-282150^682509^Improve logic to quickly GC the entry for VMs deleted from vCenter^saurabh.jain^chandan.thakur^Uhura^^^Major - P2^25/Jan/20 2:38 AM^Open^^
Improvement^ENG-281620^680776^Raise an alert in Prism for VM description longer than 1000 characters^thomas.sha^acropolis^AHV-Management^^^Minor - P3^23/Jan/20 9:36 PM^Open^^
Improvement^ENG-281184^680360^Acropolis: Improve the workflow of updating the VM boot device in Prism.^acropolis^acropolis^AHV-Management^^^Major - P2^22/Jan/20 8:57 PM^Open^^
Improvement^ENG-280914^680008^Panacea: Highlight known and suspected causes for host reboots^bruce.gao^ahv-eng^Panacea^^^Major - P2^22/Jan/20 3:06 AM^Open^^
Bug^ENG-280849^679547^device_index field in VM creation spec caused Uhura to go into a crash loop^saurabh.jain^syam.mohan^Uhura^^^Major - P2^21/Jan/20 9:04 PM^Open^^
Bug^ENG-280329^678276^AHV - Update NetKVM Tx/Rx buffers^bruce.gao^peter.turschm^AHV^^^Major - P2^18/Jan/20 4:51 PM^Open^^
Bug^ENG-280328^678274^VirtIO - NetKVM should adjust m_nReusedRxBuffersLimit if allocation of all RX buffers fails^bruce.gao^^AHV^^^Critical - P1^18/Jan/20 1:24 PM^Open^^
Bug^ENG-280246^678160^"Attempting to power on VMs fails with ""ValueError: need more than 1 value to unpack"""^acropolis^bhuvnesh.jain^AHV-Management^^^Major - P2^18/Jan/20 2:39 AM^Pending Review^^
Bug^ENG-279980^677465^[ncc] raise warning for ahv_read_only_fs_check alerts^raymond.yip^raymond.yip^AHV-Management^^^Major - P2^16/Jan/20 10:25 PM^Closed^18/Jan/20 12:36 AM^Fixed
Bug^ENG-279650^676585^LCM does not offer 20190916.96 when using offline bundle^bruce.gao^viswanathan.vaidyana^AHV^^^Critical - P1^15/Jan/20 5:16 PM^In Progress^^
Bug^ENG-279167^675790^EnterMaintenanceMode task failed with message: Timed out waiting for HA status to become protected.^dipika.darshan^aramesh^AHV-Management^^^Major - P2^14/Jan/20 12:01 AM^Open^^
Improvement^ENG-279051^675183^Need to map tap interfaces with UVM UUID in ovsdb logs^raghavendran.nagaraj^shrinivasa.kini^AHV^Networking^^Major - P2^13/Jan/20 1:39 PM^Open^^
Bug^ENG-278582^673690^Cannot put a vm into new project in PC^kern.qian^igor.grobman^AHV-Management^^^Critical - P1^10/Jan/20 5:17 AM^Open^^
Bug^ENG-278548^673325^Boot order lost after changing affinity rules^saurabh.jain^acropolis^AHV-Management^Uhura^^Major - P2^10/Jan/20 2:42 AM^Open^^
Bug^ENG-278231^672415^Dual Mellanox Connect-X cards do not have interfaces on 8035 G7'^ahv-eng^ahv-eng^AHV^Networking^^Critical - P1^08/Jan/20 11:20 PM^Resolved^09/Jan/20 1:02 AM^Fixed
